,created_at,id,text
33,Thu May 07 17:15:15 +0000 2020,1258445301658128384,. @US_FDA Clears @moderna_tx Phase II Trial for #COVID19 #Vaccine Candidate: https://t.co/WaQjXnAzSi https://t.co/O5gJFe2oes
34,Thu May 07 17:36:03 +0000 2020,1258450537089032194,RT @neelbs: #Vaccine candidate mRNA-1273 for #COVID19 from @moderna_tx is the first to get approval from @US_FDA for human #phase2 trials.…
35,Thu May 07 18:46:00 +0000 2020,1258468140276682753,"Interfor’s Critical #COVID19 Updates – May 7, 2020
Latest numbers (as of 9am est):
Total Reported Cases: 3,846,924… https://t.co/9XWAI5pI1b"
36,Thu May 07 20:55:05 +0000 2020,1258500626398564353,. @moderna_tx receives @US_FDA clearance to advance its #COVID19 #vaccine candidate mRNA-1273 into a Phase II trial… https://t.co/nZySbXIxxC
37,Thu May 07 22:15:18 +0000 2020,1258520812807581696,@richard_diggler @BosBizAllison @moderna_tx Moderna doesn't just do COVID vaccine. I think they have a lawsuit goin… https://t.co/OlYdt9WiG7
38,Thu May 07 22:26:37 +0000 2020,1258523659288735746,"“I only have two competitors, the virus and the clock” Dr. Tal Zaks @moderna_tx Chief Medical Officer tells… https://t.co/1D58NSNEFp"
39,Thu May 07 22:38:37 +0000 2020,1258526680106201092,".@moderna_tx is discussing plans with @US_FDA for Phase 2 and late stage studies of its COVID-19 vaccine candidate,… https://t.co/7w5759fpFb"
40,Thu May 07 22:49:07 +0000 2020,1258529321322377216,"Wise words below from #Pharmacist upon injecting #COVID19 #vaccine in 🇺🇸 Phase I trial @moderna_tx

Hope to see 🇺🇸… https://t.co/T2MNOMPNfR"
41,Thu May 07 23:00:42 +0000 2020,1258532239479996416,"RT @ericMstrauss: “I only have two competitors, the virus and the clock” Dr. Tal Zaks @moderna_tx Chief Medical Officer tells @KayleeHartun…"
42,Thu May 07 23:40:02 +0000 2020,1258542137974505473,Moderna eyes 'early summer' start for phase 3 COVID-19 vaccine trial |@moderna_tx #covid19  https://t.co/FVOagLdCVT
43,Thu May 07 23:40:04 +0000 2020,1258542143250915329,Moderna eyes 'early summer' start for phase 3 COVID-19 vaccine trial |@moderna_tx #covid19  https://t.co/ubgkcW42Dl
44,Fri May 08 04:21:19 +0000 2020,1258612923867500548,Advancement of COVID-19 vaccine puts Moderna years ahead of growth plan #vaccines #coronavirus @moderna_tx… https://t.co/cB2cb2vGHW
45,Fri May 08 04:28:57 +0000 2020,1258614843550171136,ThursdayRecap: @US_FDA Clears @moderna_tx Phase II Trial for #COVID19 #Vaccine Candidate. @GENbio: https://t.co/cJkUJUMfjK
46,Fri May 08 06:10:57 +0000 2020,1258640514955575297,RT @GENbio: . @US_FDA Clears @moderna_tx Phase II Trial for #COVID19 #Vaccine Candidate: https://t.co/WaQjXnAzSi https://t.co/O5gJFe2oes
47,Fri May 08 09:31:55 +0000 2020,1258691088170319872,RT @GENbio: . @moderna_tx receives @US_FDA clearance to advance its #COVID19 #vaccine candidate mRNA-1273 into a Phase II trial: https://t.…
48,Fri May 08 13:19:53 +0000 2020,1258748458384658433,"RT @Contagion_Live: .@moderna_tx is discussing plans with @US_FDA for Phase 2 and late stage studies of its COVID-19 vaccine candidate, mRN…"
49,Fri May 08 14:40:08 +0000 2020,1258768653509627904,This @FiercePharma article states that @moderna_tx has partnered with the federal government to create an mRNA-base… https://t.co/ZP5XPRLEba
50,Fri May 08 14:49:57 +0000 2020,1258771122830618626,@RockefellerUniv Lifton thoughtful presentation:Promising vaccine studies by @UniofOxford &amp; @moderna_tx for… https://t.co/uWewBa3ZbV
51,Fri May 08 16:33:16 +0000 2020,1258797124700889093,"On Thursday, @moderna_tx announced that the @US_FDA had cleared its application to proceed to a clinical trial invo… https://t.co/T7NNVMyoCk"
52,Sat May 09 07:12:27 +0000 2020,1259018378187993089,RT @K_G_Andersen: The mRNA-1273 #COVID19 vaccine candidate from @moderna_tx has gotten the green light from @US_FDA to move to Phase II. No…
53,Sat May 09 08:59:22 +0000 2020,1259045285004640256,"@moderna_tx #COVID-19 #vaccine 'mRNA-1273' gets @US_FDA approval for phase 2 trial

https://t.co/3x6IJsdrjy"
54,Sat May 09 14:13:13 +0000 2020,1259124269071716353,"Latest on global search for #coronavirus vaccine: 
@moderna_tx set for Phase 2 trails for vaccine candidate mRNA-12… https://t.co/BvdHS0JrEr"
55,Sat May 09 16:03:56 +0000 2020,1259152129262071808,. @moderna_tx Gets @US_FDA Green Light for #COVID19 Vaccine Phase II Trial: https://t.co/K6xvwcDsV6 https://t.co/0eeDlVoVBw
56,Sat May 09 18:51:19 +0000 2020,1259194252384321536,@i4dzn @K_G_Andersen @moderna_tx @US_FDA I would like to see anything you have on Moderna and how it operates. I am… https://t.co/DN2FkRWO4l
57,Sun May 10 21:48:36 +0000 2020,1259601257183850496,"Not that you should be talking COVID-19 on #MothersDay , but if you do, here's a timely topic.… https://t.co/MGXFOODB1p"
58,Sun May 10 22:26:04 +0000 2020,1259610687350996992,RT @ClinicalOMICs: . @moderna_tx Gets @US_FDA Green Light for #COVID19 Vaccine Phase II Trial: https://t.co/K6xvwcDsV6 https://t.co/PyQbkWM…
59,Mon May 11 01:04:42 +0000 2020,1259650606840586240,"Moderna Therapeutics is one of the most promising biotech stocks, not only for its COVID-19 vaccine work, but for i… https://t.co/KR0SXMlyPE"
60,Mon May 11 02:20:27 +0000 2020,1259669669662859270,"RT @money36five: Moderna Therapeutics is one of the most promising biotech stocks, not only for its COVID-19 vaccine work, but for it's gro…"
61,Mon May 11 11:58:46 +0000 2020,1259815209310588928,"Senator casts doubts over US government #COVID-19 vaccine plans, as @moderna_tx suggests approval of front-runner i… https://t.co/zSaKvdaNyD"
62,Mon May 11 13:10:06 +0000 2020,1259833158759038976,. @moderna_tx Gets @US_FDA Green Light for #COVID19 Vaccine Phase II Trial: https://t.co/K6xvwcDsV6 https://t.co/xvEgqWqUdJ
63,Mon May 11 15:25:22 +0000 2020,1259867200543997952,RT @GENbio: . @US_FDA Clears @moderna_tx Phase II Trial for #COVID19 #Vaccine Candidate: https://t.co/WaQjXnAzSi https://t.co/cr2cL8zDxM
64,Mon May 11 18:15:09 +0000 2020,1259909928183050243,". @moderna_tx, the first company to enter clinical trial with a potential vaccine, will now start Phase 2 of testin… https://t.co/snhB230h0p"
65,Tue May 12 15:06:11 +0000 2020,1260224762674118656,.@US_FDA grants fast track designation to @moderna_tx's #coronavirus vaccine candidate mRNA-1273… https://t.co/hmMvcmxMXS
